Attaching to aeo_svdc-aeo_svdc-1
aeo_svdc-aeo_svdc-1  | Starting Process AEO_SVDC
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/17
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/18
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/19
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/1A
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/1B
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/1C
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/1D
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING DIRECTORY = incoming/1E
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::CHECKING CURRENTJOBGROUP = 1E
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AERECEPTION::SELECTED FILE = a2746433-f295-40dc-b325-942002bafe41
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEReception : AEReception::Reception.parsing
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEOrdering : AEOrdering::AcceptEvent - jobId = f7bccaf6-145a-4647-993a-68f93f6a181e, auditEventType = RequestFile, auditEventId = 3fe02f1e-2bfd-4de3-a692-06c343023a40
aeo_svdc-aeo_svdc-1  | 2023-02-03T17:19:12Z Information : AEOrdering : AEOrdering::AuditEvent.createAuditEvent
